Date,State,Group,Time,Unit,Sales
2020-10-01,New South Wales,Kids,Morning,129.0,5032.29
2020-10-01,New South Wales,Women,Morning,194.0,15958.44
2020-10-01,New South Wales,Men,Evening,127.0,5894.07
2020-10-01,New South Wales,Seniors,Afternoon,147.0,6375.39
2020-10-01,Victoria,Kids,Afternoon,85.0,3940.6
2020-10-01,Victoria,Women,Afternoon,123.0,6301.29
2020-10-01,Victoria,Men,Morning,129.0,3126.96
2020-10-01,Victoria,Seniors,Morning,42.0,1285.2
2020-10-01,Queensland,Kids,Night,56.0,2457.84
2020-10-01,Queensland,Women,Morning,85.0,3099.95
2020-10-01,Queensland,Men,Morning,142.0,6605.84
2020-10-01,Queensland,Seniors,Morning,73.0,1629.36
2020-10-01,South Australia,Kids,Afternoon,45.0,1876.5
2020-10-01,South Australia,Women,Afternoon,51.0,3282.36
2020-10-01,South Australia,Men,Morning,54.0,2465.1
2020-10-01,South Australia,Seniors,Afternoon,39.0,2097.42
2020-10-01,Western Australia,Kids,Night,67.0,1948.36
2020-10-01,Western Australia,Women,Afternoon,121.0,4773.45
2020-10-01,Western Australia,Men,Night,87.0,2055.81
2020-10-01,Western Australia,Seniors,Evening,36.0,1364.04
2020-10-01,Tasmania,Kids,Morning,38.0,1609.3
2020-10-01,Tasmania,Women,Afternoon,43.0,2313.4
2020-10-01,Tasmania,Men,Night,21.0,840.0
2020-10-01,Tasmania,Seniors,Evening,24.0,1107.6
2020-10-01,Northern Territory,Kids,Evening,29.0,622.34
2020-10-01,Northern Territory,Women,Afternoon,42.0,2204.58
2020-10-01,Northern Territory,Men,Afternoon,26.0,1496.82
2020-10-01,Northern Territory,Seniors,Evening,31.0,1393.14
2020-10-01,Australian Capital Territory,Kids,Morning,30.0,1114.8
2020-10-01,Australian Capital Territory,Women,Morning,64.0,4718.08
2020-10-01,Australian Capital Territory,Men,Night,42.0,1976.1
2020-10-01,Australian Capital Territory,Seniors,Morning,24.0,588.48
2020-10-02,New South Wales,Kids,Evening,139.0,7665.85
2020-10-02,New South Wales,Women,Evening,158.0,11717.28
2020-10-02,New South Wales,Men,Evening,152.0,6228.96
2020-10-02,New South Wales,Seniors,Morning,110.0,5584.7
2020-10-02,Victoria,Kids,Night,97.0,5567.8
2020-10-02,Victoria,Women,Morning,30.0,2139.6
2020-10-02,Victoria,Men,Night,124.0,5648.2
2020-10-02,Victoria,Seniors,Morning,90.0,1522.8
2020-10-02,Queensland,Kids,Evening,75.0,3327.0
2020-10-02,Queensland,Women,Evening,168.0,8468.88
2020-10-02,Queensland,Men,Afternoon,74.0,3173.12
2020-10-02,Queensland,Seniors,Morning,91.0,3563.56
2020-10-02,South Australia,Kids,Morning,45.0,2071.8
2020-10-02,South Australia,Women,Afternoon,80.0,5888.8
2020-10-02,South Australia,Men,Evening,52.0,2348.84
2020-10-02,South Australia,Seniors,Morning,42.0,921.9
2020-10-02,Western Australia,Kids,Afternoon,73.0,3162.36
2020-10-02,Western Australia,Women,Morning,97.0,5319.48
2020-10-02,Western Australia,Men,Night,47.0,2065.65
2020-10-02,Western Australia,Seniors,Evening,53.0,1499.9
2020-10-02,Tasmania,Kids,Night,29.0,1300.94
2020-10-02,Tasmania,Women,Evening,71.0,4346.62
2020-10-02,Tasmania,Men,Afternoon,41.0,1989.32
2020-10-02,Tasmania,Seniors,Evening,11.0,393.25
2020-10-02,Northern Territory,Kids,Evening,27.0,1811.7
2020-10-02,Northern Territory,Women,Afternoon,36.0,2275.2
2020-10-02,Northern Territory,Men,Evening,32.0,1090.24
2020-10-02,Northern Territory,Seniors,Morning,32.0,1383.04
2020-10-02,Australian Capital Territory,Kids,Afternoon,50.0,1534.0
2020-10-02,Australian Capital Territory,Women,Afternoon,83.0,3040.29
2020-10-02,Australian Capital Territory,Men,Afternoon,58.0,4547.78
2020-10-02,Australian Capital Territory,Seniors,Night,25.0,764.0
2020-10-03,New South Wales,Kids,Night,115.0,4031.9
2020-10-03,New South Wales,Women,Evening,86.0,5123.02
2020-10-03,New South Wales,Men,Afternoon,93.0,5184.75
2020-10-03,New South Wales,Seniors,Evening,72.0,3663.36
2020-10-03,Victoria,Kids,Morning,75.0,2776.5
2020-10-03,Victoria,Women,Afternoon,177.0,6956.1
2020-10-03,Victoria,Men,Morning,129.0,8610.75
2020-10-03,Victoria,Seniors,Evening,45.0,1699.65
2020-10-03,Queensland,Kids,Night,87.0,4257.78
2020-10-03,Queensland,Women,Evening,73.0,2766.7
2020-10-03,Queensland,Men,Morning,114.0,6089.88
2020-10-03,Queensland,Seniors,Afternoon,77.0,3028.41
2020-10-03,South Australia,Kids,Evening,42.0,1806.42
2020-10-03,South Australia,Women,Afternoon,84.0,3978.24
2020-10-03,South Australia,Men,Night,102.0,5686.5
2020-10-03,South Australia,Seniors,Night,30.0,1269.0
2020-10-03,Western Australia,Kids,Night,47.0,2303.0
2020-10-03,Western Australia,Women,Afternoon,131.0,5986.7
2020-10-03,Western Australia,Men,Evening,106.0,5824.7
2020-10-03,Western Australia,Seniors,Afternoon,74.0,4011.54
2020-10-03,Tasmania,Kids,Afternoon,29.0,938.44
2020-10-03,Tasmania,Women,Evening,33.0,1510.41
2020-10-03,Tasmania,Men,Night,37.0,1998.0
2020-10-03,Tasmania,Seniors,Night,30.0,1318.2
2020-10-03,Northern Territory,Kids,Evening,27.0,1517.4
2020-10-03,Northern Territory,Women,Afternoon,35.0,3532.55
2020-10-03,Northern Territory,Men,Afternoon,39.0,1489.41
2020-10-03,Northern Territory,Seniors,Night,16.0,650.08
2020-10-03,Australian Capital Territory,Kids,Morning,37.0,1783.77
2020-10-03,Australian Capital Territory,Women,Morning,66.0,3785.76
2020-10-03,Australian Capital Territory,Men,Morning,36.0,1062.0
